,source,url
48,pillowlab.wordpress.com,218
53,princeton.academia.edu/AnnaShields,148
54,princeton.academia.edu/MarinaRustow,99
55,princeton.academia.edu/MattKarp,61
4,blogs.princeton.edu/reelmudd,60
57,princeton.academia.edu/VeraCandiani,59
3,blogs.princeton.edu/italian,42
28,francinekay.com,32
2,blogs.princeton.edu/eqn,24
59,princeton.edu/leslie,20
56,princeton.academia.edu/RobCWegman,20
45,paw.princeton.edu,17
30,goprincetontigers.com,17
21,facilitiesinclusion.princeton.edu,16
51,poets.org/poet.php/prmPID/248,16
19,dailyprincetonian.com,16
0,biodigester.princeton.edu,12
66,princetongleeclub.com,12
12,chime.princeton.edu,12
9,caribbeanliterature.princeton.edu,12
7,bobholman.com,12
26,fluids.princeton.edu,12
16,cs.princeton.edu/~kylej,12
15,cs.princeton.edu/~ehazan,12
38,movingforlife.org,10
20,deanalawson.com,9
80,spider.princeton.edu,8
52,poloclub.princeton.edu,8
64,princeton.edu/~naomi,8
49,plantbiology.princeton.edu,8
33,keithwailoo.com,8
79,soniccinema.princeton.edu,8
8,butlercollege.princeton.edu,6
41,njsymphony.org/musicians-music/musicians/detail/45,6
5,blueflowerarts.com/artist/alicia-ostriker,6
6,blueflowerarts.com/artist/mark-doty,6
10,chignell.net,6
43,omarwasow.com,6
1,blogs.princeton.edu/caps,6
81,susanbrison.com,6
29,goprincetontigers.blogspot.com,6
14,cs.princeton.edu,6
18,csctf.princeton.edu,6
35,mattsullivan.org/Page1.html,6
32,guitarduo.com,6
68,princetonroaring20.com,4
61,princeton.edu/~graphicarts,4
78,skprinceton.com,4
77,share.princeton.edu,4
75,seniors.princeton.edu,4
74,scholar.princeton.edu/markus,4
73,religiouslife.princeton.edu,4
60,princeton.edu/~ekolemen,4
69,princetontigressions.com,4
72,ralphbowen.com/index.html,4
65,princetonbuffer.princeton.edu,4
82,thealternative.princeton.edu,4
67,princetonkindredspirit.com,4
70,princetonwildcats.com,4
71,pringle.princeton.edu,4
42,nuclearfutures.princeton.edu,4
58,princeton.edu/admissionfacebook,4
39,muslimlife.princeton.edu,4
23,fai.princeton.edu,4
24,fanfiction.princeton.edu,4
25,figments.princeton.edu,4
27,folklorico.princeton.edu,4
31,gss.princeton.edu,4
34,libertarians.princeton.edu,4
40,nats.org/christopher_arneson.html,4
44,onstott.princeton.edu,4
50,pnkhr.princeton.edu,4
83,twod.princeton.edu,4
17,cs.princeton.edu/~sseung,3
13,claudiarankine.com,3
11,chikaokeke-agulu.blogspot.com,3
37,movementgroup.org,2
36,michaelcochrane.com,2
62,princeton.edu/~hcil,2
46,philklay.com,2
47,pietroortoleva.com,2
76,seunglab.org,2
63,princeton.edu/~hsr,2
22,facilitiesinsider.princeton.edu,2
